StationCode,RT_RO_Other,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,Chl_a_DHEC,SiltClay,Entero_DHEC,LOG_entero,FecalColiform_DHEC,LOG_FC,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUND,benth_SP_RICH,benth_ABUNDANCE,BIBI,MAMBI,HUC14_IMPERV_PRCT,HUC14_DEV_cut,HUC14_DEV_quant
RO046066,OpenWater,5.71,32.23,27.84,7.96,5.37,8.97,,,4,0.602059991,60.96,81.95,0,0,0,0,0.03,0.002193809,0,0.01,20,65,54,1200,3.5,0.68,20.27,DEV,DEV
RO046067,OpenWater,6.06,32.17,25.04,7.89,3.25,11,,,2,0.301029996,36.79,30,0,0,0,0,0.02,0.001008359,0,0.009303455,3,8,50,279,4.5,,0.07,UNDEV,UNDEV
RO046068,OpenWater,5.87,35.04,28.06,8,4.66,17.53,,,4,0.602059991,68.06,25.63,0,0,0,0,0.03,0.000773194,0,0.01,13,47,38,192,4,0.61,1.79,UNDEV,DEV
RO046069,OpenWater,5.1,30.76,27.82,7.53,2.43,9.62,,,0,0,23.58,4.19,0,0,0.35,0,0.01,0.000214619,0,0.005007191,7,63,8,65,2.5,0.4,0.07,UNDEV,UNDEV
RO046070,OpenWater,4.54,17.67,29.89,7.6,2.62,15.04,,,4,0.602059991,64.02,91.56,0.29,0,0,0,0.03,0.003089748,0.001622222,0.01,2,2,14,39,4,0.47,33.21,DEV,DEV
RO046071,OpenWater,4.32,15.16,27.8,6.95,5.3,32.32,,,130,2.113943352,77.13,198.07,0,0,0,0,0.04,0.01,0,0.02,5,10,8,33,2,0.28,0.24,UNDEV,UNDEV
RO046072,OpenWater,5.41,37.09,27.83,7.89,6.28,26.77,,,0,0,95.38,34.16,0,0,0,0,0.05,0.000849533,0,0.01,0,0,33,277,4,0.51,2.71,UNDEV,DEV
RO046073,OpenWater,4.77,27.08,30.61,7.42,6.75,47.07,,,0,0,84.3,46.39,0,0,0.49,0,0.07,0.001248167,0,0.02,10,37,55,572,5,0.7,2.36,UNDEV,DEV
RO046074,OpenWater,3.47,35.21,29.99,7.34,5.67,40.47,,,2,0.301029996,93.24,112.79,0,0,0.32,0,0.05,0.003471805,0,0.02,12,48,37,338,2.5,0.54,1.57,UNDEV,UNDEV
RO046075,OpenWater,6.56,32.48,30.21,7.99,3.16,3.86,,,0,0,51.27,8.7,0.35,0,0,0,0.02,0.000194452,0.001977778,0.009295996,9,9,43,252,4,,1.73,UNDEV,DEV
RO046076,OpenWater,2.97,25.01,28.94,7.49,13.5,94.73,,,40,1.602059991,203.36,63.3,0,0,0,0,0.11,0.004447448,0,0.04,14,212,11,36,2.5,0.4,0.45,UNDEV,UNDEV
RO046077,OpenWater,5.2,29.3,30.85,7.49,12.9,7.28,,,23,1.361727836,20.34,0,0,0,0,0,0.01,0,0,0.003789974,21,77,15,50,4,0.4,1.04,UNDEV,UNDEV
RO046078,OpenWater,6.61,29.64,28.32,8.28,8.01,71.25,,,0,0,195.54,85.48,0,0,0,0,0.1,0.006221272,0,0.03,21,87,39,214,4,,0.44,UNDEV,UNDEV
RO046079,OpenWater,5.66,28.75,31.13,7.64,8.88,12.07,,,7,0.84509804,44.45,54.95,0,0,0,0,0.02,0.001566421,0,0.008622384,0,0,37,312,4.5,0.64,2.36,UNDEV,DEV
RO046080,OpenWater,5.93,31.44,26.64,8.17,10.3,18.37,,,8,0.903089987,33.01,23.22,0,0,0,0,0.02,0.000676912,0,0.007432527,20,269,50,279,4,0.61,0.34,UNDEV,UNDEV
RO046081,OpenWater,6.87,27.96,30.3,8.15,4.31,4.7,,,0,0,10.7,0,0,0,0,0,0.0098,0,0,0.003274991,9,44,27,444,4,,0.96,UNDEV,UNDEV
RO046082,OpenWater,6.1,27.26,29.03,7.86,7.69,4.55,,,20,1.301029996,14.35,0,6.25,0,0,0,0.0092,0,0.03,0.004510874,13,182,10,18,3,0.39,1.58,UNDEV,UNDEV
RO046083,OpenWater,4.9,33.99,30.63,7.85,5.55,1.28,,,4,0.602059991,16.75,12.89,0.22,0,0.21,0,0.01,0.000592167,0.001227778,0.004691171,19,96,6,36,2.5,,0.47,UNDEV,UNDEV
RO046084,OpenWater,5.91,21.31,28.86,7.66,8.77,28.31,,,2,0.301029996,106.14,206.65,0,0,0,0,0.05,0.005364299,0,0.02,8,38,11,154,2.5,0.29,2.01,UNDEV,DEV
RO046085,OpenWater,4.65,28.89,30.66,7.48,8.16,10.15,,,8,0.903089987,50.56,63.29,0.14,0,0,0,0.03,0.001910457,0.000797222,0.01,13,104,62,2969,5,,1.73,UNDEV,DEV
RO046086,OpenWater,5.94,32.77,29.18,8.13,4.86,3.39,,,2,0.301029996,42.98,0,0,0,0,0,0.02,0,0,0.00722563,6,16,20,122,3.5,,4.81,UNDEV,DEV
RO046087,OpenWater,5.12,34.31,30.97,7.74,6.58,15.8,,,8,0.903089987,60.65,86.82,0,0,0,0,0.03,0.002446575,0,0.01,11,53,34,409,4,0.51,5.45,UNDEV,DEV
RO046088,OpenWater,5.62,32,29.95,7.6,10.2,22.63,,,30,1.477121255,70.84,20.62,0,0,0,0,0.03,0.000460361,0,0.01,13,615,39,477,4.5,0.63,9.6,UNDEV,DEV
RO046089,OpenWater,5.78,32.5,30.44,7.9,40.8,14.77,,,2,0.301029996,36.05,13.57,1.48,0,0,0,0.02,0.000395653,0.00825,0.009236738,5,7,24,132,4,0.52,0.37,UNDEV,UNDEV
RO046090,OpenWater,5.75,28.77,29.2,7.96,6.23,2.87,,,0,0,40.46,0,0,0,0,0,0.01,0,0,0.006021048,13,241,43,547,5,,6.24,UNDEV,DEV
RO056091,OpenWater,4.46,26.56,31.53,7.55,10.4,95.95,,,4,0.602059991,184.99,86.37,0,0,0,0,0.1,0.003707582,0,0.03,19,160,14,167,2.5,0.34,0.86,UNDEV,UNDEV
RO056092,OpenWater,5.07,22.19,30.03,7.55,11,14.4,,,2,0.301029996,72.03,1474.54,2.33,0,0,0,0.03,0.05,0.01,0.03,4,19,15,253,3.5,0.46,9.46,UNDEV,DEV
RO056093,OpenWater,4.91,32.05,31.2,7.64,6.3,4.48,,,2,0.301029996,38.98,6.07,0,0,0,0,0.01,0.000288444,0,0.006635489,15,41,69,1217,5,,0.47,UNDEV,UNDEV
RO056094,OpenWater,5.24,22.07,29.44,7.78,35.4,15.24,,,24,1.380211242,73.38,7.44,0,0,0,0,0.03,0.001506742,0,0.01,18,412,13,156,2.5,0.31,1.58,UNDEV,UNDEV
RO056095,OpenWater,4.49,21.98,31.21,7.46,9.52,8.7,,,8,0.903089987,61.23,5.63,0,0,0,0,0.02,0.000438248,0,0.00986797,15,32,20,161,3.5,0.46,2.36,UNDEV,DEV
RO056096,OpenWater,3.78,33.83,29.28,7.52,4.57,33.48,,,50,1.698970004,62.12,8.77,0,0,0,0,0.03,0.000744329,0,0.01,18,185,49,498,4.5,,1.57,UNDEV,UNDEV
RO056097,OpenWater,6.27,27.82,29.99,7.71,2.46,3.07,,,0,0,36.41,4.55,0,0,0,0,0.03,0.000101581,0,0.01,8,11,19,142,3.5,0.52,1.73,UNDEV,DEV
RO056098,OpenWater,6.19,0.04,30.79,6.86,7.92,8.05,,,12,1.079181246,45.47,6.28,0,0,0,0,0.02,0.001126317,0,0.007345426,5,25,4,9,3,0.32,0.45,UNDEV,UNDEV
RO056099,OpenWater,4.11,25.96,31.17,7.34,15.3,75.89,,,50,1.698970004,154.71,72.25,0,2.44,0,0.05,0.08,0.003312422,0,0.03,19,132,17,120,3,0.38,1.04,UNDEV,UNDEV
RO056100,OpenWater,5.17,17.01,31.09,7.35,13.1,69.65,,,10,1,157.71,12.69,0,0,0,0,0.09,0.001524603,0,0.03,13,161,6,21,2,0.26,0.44,UNDEV,UNDEV
RO056101,OpenWater,5.63,23.03,31.85,7.53,10.4,4.33,,,4,0.602059991,55.95,4.09,0,0,0,0,0.03,0.000255849,0,0.01,5,8,56,2932,4.5,0.52,2.36,UNDEV,DEV
RO056102,OpenWater,4.88,28.14,27.41,7.89,2.48,4.68,,,2,0.301029996,22.61,5.32,0,0,0,0,0.01,0.000271924,0,0.005089717,13,113,57,895,5,,0.34,UNDEV,UNDEV
RO056103,OpenWater,5.41,23.58,30.96,7.52,5.52,11.21,,,0,0,64.02,20.53,0,0,0,0,0.04,0.000829836,0,0.01,8,12,46,418,4.5,0.61,1.73,UNDEV,DEV
RO056104,OpenWater,5.2,30.34,27.7,7.78,3.57,3.81,,,0,0,60.82,3.61,0,0,0,0,0.02,0.000225933,0,0.009257695,5,18,46,305,4,,4.81,UNDEV,DEV
RO056105,OpenWater,4.14,30.61,30.28,7.56,5.13,5.53,,,30,1.477121255,53.49,4.01,0,0,0,0,0.03,0.000268575,0,0.01,12,34,48,899,4.5,0.55,5.45,UNDEV,DEV
RO056106,OpenWater,4.64,29.3,27.98,7.57,2.63,11.53,,,0,0,52.72,7.69,0,0,0,0,0.02,0.000403018,0,0.009000164,11,57,45,329,4,0.6,4.67,UNDEV,DEV
RO056107,OpenWater,5.43,27.75,30.13,7.55,4.23,23.21,,,2,0.301029996,63.2,9.36,0,0,0,0,0.03,0.00054407,0,0.01,7,66,15,126,3.5,0.49,0.44,UNDEV,UNDEV
RO056108,OpenWater,5.98,31.42,27.51,7.88,3.85,1.38,,,0,0,13.21,4.57,0,0,0,0,0.01,0.000102027,0,0.004014698,1,1,14,61,3.5,0.42,4.81,UNDEV,DEV
RO056109,OpenWater,5.98,28.93,29.83,7.72,5.17,16.9,,,0,0,56.13,11.3,0,0,0,0,0.02,0.000549875,0,0.009787135,17,132,31,246,3.5,0.61,4.81,UNDEV,DEV
RO056110,OpenWater,4.61,24.86,29.31,7.77,8.08,2.22,,,46,1.662757832,14.92,5.9,0,0,0,0,0.009,0.00013172,0,0.003104695,15,385,6,8,2.5,0.38,1.58,UNDEV,UNDEV
RO056111,OpenWater,5.82,32.7,30.15,7.88,4.88,5.82,,,0,0,25.9,6.92,0.13,0,0,0,0.01,0.00022504,0.00075,0.005980339,15,64,22,128,4,,1.68,UNDEV,UNDEV
RO056112,OpenWater,5.8,26.37,29.79,7.78,5.27,7.52,,,14,1.146128036,58.06,99.56,0.26,0,0,0,0.02,0.003360868,0.001472222,0.01,7,9,40,268,4.5,0.64,33.21,DEV,DEV
RO056113,OpenWater,5.47,26.03,30.74,7.68,9.12,4.29,,,2,0.301029996,16.39,4.03,0,0,0,0,0.01,0.00013172,0,0.003962374,7,99,24,97,4,,0.07,UNDEV,UNDEV
RO056114,OpenWater,4.22,32.74,28.94,7.53,5.56,7.82,,,30,1.477121255,56.34,5.9,0,0,0,0,0.02,0.000370602,0,0.009845771,20,375,70,1016,5,,11.57,UNDEV,DEV
RO056115,OpenWater,5.79,26.79,30.88,7.57,1.02,2.17,,,0,0,17.53,4.48,0,0,0,0,0.01,0.000100018,0,0.003799192,17,78,21,91,3.5,0.53,0.24,UNDEV,UNDEV
RO06301,OpenWater,6.09,28.29,28.47,7.86,9.7,2.42,,,10,1,56.57,0,0,0,0,0,0.02,5.31E-05,0,0.009264464,10,20,21,161,3.5,,0.45,UNDEV,UNDEV
RO06302,OpenWater,5.89,35.42,29.75,7.88,7.31,1.99,,,0,0,25.96,0,0,0,0,0,0.01,0,0,0.005832819,3,4,21,75,4,,5.88,UNDEV,DEV
RO06303,OpenWater,4.74,31.04,29.3,7.59,5.44,5.22,,,0,0,23.77,0,0,0,0,0,0.01,5.59E-05,0,0.004679761,6,118,11,81,3.5,0.47,0.13,UNDEV,UNDEV
RO06304,OpenWater,5.46,31.27,29.77,7.93,4,3.46,,,140,2.146128036,68.64,42.8,0.24,0,0,0,0.03,0.001400563,0.001377778,0.01,7,9,58,291,4.5,0.68,21.43,DEV,DEV
RO06305,OpenWater,4.29,32.31,29.96,7.49,13.7,3.27,,,4,0.602059991,16.87,0,0,0,0,0,0.01,0,0,0.00378179,14,217,17,1963,3.5,,0.34,UNDEV,UNDEV
RO06306,OpenWater,5.76,33.5,30.16,7.75,4.22,1.91,,,0,0,17.43,0,0,0,0,0,0.02,0,0,0.007328825,0,0,49,268,4.5,,2.16,UNDEV,DEV
RO06308,OpenWater,4.29,18.87,29.98,7.62,4.33,82.06,,,170,2.230448921,205.08,1180.44,1.78,0,0,0,0.1,0.03,0.009894444,0.05,18,210,6,162,1.5,0.24,5.94,UNDEV,DEV
RO06309,OpenWater,,33.03,30.84,7.57,4.96,2.96,,,2,0.301029996,39.64,0,0,0,0,0,0.02,0.000101692,0,0.008813676,3,7,29,179,4,,2.16,UNDEV,DEV
RO06310,OpenWater,5.88,34.65,29.9,8.01,3.7,10.49,,,0,0,34.34,10.33,0,0,0,0,0.02,0.001713163,0,0.006982225,15,138,38,170,4.5,0.58,1.64,UNDEV,UNDEV
RO06311,OpenWater,5.9,33.72,29.36,7.8,12.5,0.23,,,2,0.301029996,16.11,0,0,0,0,0,0.01,0,0,0.00397236,15,47,19,158,3.5,0.53,1.73,UNDEV,DEV
RO06312,OpenWater,5.07,35.46,25.72,7.74,3.51,32.56,,,4,0.602059991,124.18,3.82,0,0,0,0,0.06,0.000469481,0,0.02,31,291,29,151,4,0.56,3.44,UNDEV,DEV
RO06313,OpenWater,4.43,32.92,29.83,7.57,6.26,13.33,,,4,0.602059991,50.1,0,0,0,0,0,0.03,0.000229059,0,0.01,11,66,34,115,4,0.64,3.65,UNDEV,DEV
RO06314,OpenWater,4.99,33.98,31.51,7.56,6.09,8.16,,,0,0,55.18,43.75,0,0,0,0,0.02,0.004030117,0,0.01,3,3,32,582,5,0.5,2.52,UNDEV,DEV
RO06315,OpenWater,3.4,34.25,31.3,7.48,8.4,43.27,,,17,1.230448921,95.77,17.52,0,0,0,0,0.04,0.001023665,0,0.01,25,194,22,175,2.5,0.38,1.07,UNDEV,UNDEV
RO06317,OpenWater,5.84,22.85,27.85,7.94,5.37,23.9,,,8,0.903089987,95.89,0,0,0,0,0,0.04,0.001819521,0,0.01,19,178,53,1773,4,0.67,1.61,UNDEV,UNDEV
RO06318,OpenWater,6.49,34.81,24.83,7.87,8.8,1.53,,,0,0,16.06,0,0,0,0,0,0.01,0,0,0.005529009,3,13,20,41,3.5,,5.88,UNDEV,DEV
RO06319,OpenWater,4.85,28.9,29.09,7.42,5.15,8.48,,,0,0,22.78,0,0,0,0,0,0.01,0.000400071,0,0.00478232,4,6,7,26,1.5,0.38,0.07,UNDEV,UNDEV
RO06320,OpenWater,5.16,28.49,29.75,7.92,5.1,15.37,,,23,1.361727836,101.89,4014.76,1.22,0,0,0,0.05,0.12,0.006816667,0.1,10,12,75,395,4,0.82,35.9,DEV,DEV
RO06321,OpenWater,4.93,32.74,29.98,7.54,6.69,2.03,,,0,0,15.19,0,0,0,0,0,0.01,0,0,0.005865308,10,104,22,1016,3.5,,3.65,UNDEV,DEV
RO06322,OpenWater,5.58,34.07,29.8,7.79,3.89,3.63,,,0,0,25.55,0,0,0,0,0,0.02,0,0,0.007725938,1,1,34,197,4,,5.88,UNDEV,DEV
RO06323,OpenWater,6.11,32.68,30.27,7.8,4.01,10.56,,,0,0,28.71,2.56,0,0,0,0,0.01,0.000428045,0,0.0061005,18,184,46,487,4.5,,0.24,UNDEV,UNDEV
RO06324,OpenWater,5.07,24.48,30.53,7.64,5.82,7.44,,,0,0,75.37,27.11,0.17,0,0,0,0.04,0.001126384,0.000972222,0.01,11,27,17,260,3,0.3,12.5,UNDEV,DEV
RO06325,OpenWater,4.85,32.14,31.51,7.49,8.7,50.32,,,30,1.477121255,114.73,45.18,0,0,0,0,0.06,0.002090663,0,0.02,0,0,18,67,3,0.42,2.16,UNDEV,DEV
RO06326,OpenWater,4.79,32.38,31.7,7.5,8.2,21.98,,,4,0.602059991,63.93,0,0,0,0,0,0.03,0.000323138,0,0.01,7,110,33,229,3.5,0.51,2.52,UNDEV,DEV
RO06327,OpenWater,2.86,24.73,30.89,7.23,30.2,91.54,,,170,2.230448921,223.25,47.71,0,0.97,0,0.02,0.12,0.00637788,0,0.04,0,0,,,1,0.24,0.47,UNDEV,UNDEV
RO07328,OpenWater,4.13,33.83,28.46,7.5,8.66,19.48,0,0,0,0,62.88,0,0.16,0,0,0,0.03,0.000348723,0.000933333,0.01,18,163,41,676,4.5,0.44,0.44,UNDEV,UNDEV
RO07329,OpenWater,5.24,32.88,29,7.73,4.12,15.06,52,1.716003344,30,1.477121255,57.64,0,0,0,0,0,0.02,0,0,0.009590047,19,34,61,1085,4.5,,7.79,UNDEV,DEV
RO07330,OpenWater,3.69,28.29,31.79,7.22,7.94,24.21,20,1.301029996,2,0.301029996,66.53,1.63,0,0,0,0,0.03,3.65E-05,0,0.01,14,160,15,108,3,0.44,0.13,UNDEV,UNDEV
RO07331,OpenWater,5.47,30.44,31.37,7.44,8.99,10.78,10,1,4,0.602059991,53.05,34.13,0.13,0,0,0,0.02,0.00076219,0.000766667,0.01,0,0,47,991,5,,7.45,UNDEV,DEV
RO07332,OpenWater,5.6,24.74,29.13,7.74,41.8,4.53,0,0,2,0.301029996,20.03,0.84,0.12,0,0,0,0.01,0.000330126,0.000711111,0.004420513,0,0,20,761,2.5,0.25,2.24,UNDEV,DEV
RO07333,OpenWater,5.94,32.45,30.85,7.91,14.5,1.7,0,0,21,1.322219295,17.9,0,0,0,0,0,0.01,0,0,0.003383895,3,14,10,73,3.5,0.45,0,UNDEV,UNDEV
RO07334,OpenWater,6.21,36.5,28.93,7.9,5.3,22.5,10,1,0,0,37.85,23.47,0.14,0,0,0,0.02,0.000762413,0.000827778,0.008185267,4,12,33,388,3.5,0.56,5.73,UNDEV,DEV
RO07335,OpenWater,6.24,21.13,28.85,7.52,6.6,7.69,10,1,8,0.903089987,28.31,55.17,0,0,0,0,0.01,0.002064744,0,0.007330823,6,16,22,197,4,0.52,1.05,UNDEV,UNDEV
RO07336,OpenWater,6.25,28.19,29.85,7.93,13,40.49,0,0,4,0.602059991,120.45,82.2,0.25,0,0,0,0.06,0.003765851,0.001405556,0.02,12,43,43,706,5,,21.43,DEV,DEV
RO07337,OpenWater,5.86,36.47,29.33,7.76,4.13,12.02,0,0,0,0,42.16,1.92,0,0,0,0,0.01,4.30E-05,0,0.006545556,1,1,51,832,5,,0.5,UNDEV,UNDEV
RO07338,OpenWater,5.57,34.57,31.29,7.67,12.6,0.67,0,0,0,0,58.74,0,0.12,0,0,0,0.05,0,0.000677778,0.01,18,24,58,472,4.5,,5.73,UNDEV,DEV
RO07339,OpenWater,4.9,17.96,30.13,7.37,14.1,91.48,10,1,11,1.041392685,189.1,46.31,0.44,0,0,0,0.1,0.003082247,0.002472222,0.03,18,254,7,79,1.5,0.29,0.06,UNDEV,UNDEV
RO07340,OpenWater,5.26,32.72,28.51,7.77,4.56,73.38,329,2.517195898,170,2.230448921,154.51,38,0.29,0,0,0,0.08,0.001527951,0.001616667,0.03,0,0,24,114,3.5,0.38,20.54,DEV,DEV
RO07341,OpenWater,6.4,32.49,28.17,7.93,10.9,10.91,0,0,0,0,23.38,5.66,0,0,0,0,0.01,0.000126418,0,0.004630114,0,0,29,512,4.5,0.59,0.34,UNDEV,UNDEV
RO07342,OpenWater,5.59,31.99,30.74,7.73,7.75,5.56,0,0,0,0,21.03,6.33,0,0,0,0,0.01,0.000141521,0,0.004858064,9,37,36,1254,4.5,,1.64,UNDEV,UNDEV
RO08343,OpenWater,5.28,33.72,28.99,7.8,9.81,4.96,,,0,0,30.38,15.83,0,0,0,0,0.01,0.000961511,0,0.006452958,7,8,21,217,3,,0.47,UNDEV,UNDEV
RO08344,OpenWater,6.14,21.76,29.45,7.65,21.04,10.25,,,23,1.361727836,52.65,10.92,0,0,0,0,0.02,0.001059698,0,0.009972993,6,9,27,894,3.5,,0.28,UNDEV,UNDEV
RO08346,OpenWater,5.12,33.3,29.85,7.48,5.72,16.11,0,0,2,0.301029996,58.36,23.37,0.14,0,0,0,0.02,0.00115476,0.000811111,0.01,4,7,32,202,4.5,0.63,1.05,UNDEV,UNDEV
RO08347,OpenWater,5.99,35.06,29.13,8.02,4.76,2.99,,,4,0.602059991,24.01,3.84,0,0,0,0,0.01,0.000158019,0,0.004696429,4,4,18,130,3.5,0.52,12.34,UNDEV,DEV
RO08348,OpenWater,6.45,13.31,23.82,7.54,17.87,93.44,,,84,1.924279286,210.37,83.05,0,0,0,0,0.11,0.005463744,0,0.04,6,11,12,1259,3,0.19,2.24,UNDEV,DEV
RO08349,OpenWater,4.96,29.47,30.06,7.57,5.77,25.91,10,1,2,0.301029996,89.52,9.5,0.14,0,0,0,0.04,0.005392035,0.000777778,0.01,4,6,18,793,4,,0.3,UNDEV,UNDEV
RO08350,OpenWater,6.89,35.93,30.31,7.69,5.86,11.82,0,0,2,0.301029996,47.93,8.09,0.13,0,0,0,0.02,0.000429921,0.000733333,0.007286496,2,4,47,581,5,0.66,5.88,UNDEV,DEV
RO08351,OpenWater,5.55,35.05,30,7.6,9.23,6.98,,,0,0,58.54,10.6,0.12,0,0,0,0.03,0.000480153,0.000688889,0.01,6,27,49,1267,5,,1.05,UNDEV,UNDEV
RO08352,OpenWater,5.21,24.91,28.96,7.52,3.73,54.26,,,23,1.361727836,97.22,168.52,0,0,0,0,0.04,0.00559774,0,0.02,0,0,17,87,3,0.33,35.9,DEV,DEV
RO08353,OpenWater,4.88,35.48,30.65,7.67,7.48,3.8,10,1,0,0,50.41,13.37,0,0,0,0,0.05,0.000509488,0,0.01,0,0,51,1080,4.5,,2.16,UNDEV,DEV
RO08354,OpenWater,5.12,32.08,29.8,7.53,9.95,12.43,31,1.491361694,30,1.477121255,45.51,10.63,0.11,0,0,0,0.02,0.0004351,0.000666667,0.00884473,9,17,50,875,5,,5.73,UNDEV,DEV
RO08355,OpenWater,6,35.82,29.58,7.94,15.81,6.63,,,4,0.602059991,29.09,4.95,0.11,0,0,0,0.01,0.000285542,0.000666667,0.005614951,7,102,82,1619,4.5,,1.73,UNDEV,DEV
RO08356,OpenWater,5.24,36.28,28.46,7.79,4.07,4.7,,,4,0.602059991,133.07,40.08,0,0,0,0,0.07,0.001722339,0,0.02,25,176,26,168,3.5,0.51,3.44,UNDEV,DEV
RO08357,OpenWater,6.55,33.7,24.07,7.85,9.92,3.4,0,0,2,0.301029996,12.26,1.98,0.11,0,0,0,0.0098,6.09E-05,0.000622222,0.003351663,13,48,30,1033,4,,9.99,UNDEV,DEV
RO08358,OpenWater,4.94,34.27,31.68,7.51,7.51,23.29,0,0,17,1.230448921,77.31,92.84,0.69,0,0,0,0.04,0.00318385,0.003844445,0.01,5,29,24,146,4,0.56,0.71,UNDEV,UNDEV
RO09359,OpenWater,5.36,33.24,29.45,7.8,5.59,22.83,0,0,2,0.301029996,57.42,0,1.57,0.02,0,0.000612842,0.03,0.00643905,0.008740534,0.01,7,22,14,88,3,,1.07,UNDEV,UNDEV
RO09360,OpenWater,6.57,12.93,29.05,7.5,15.33,93.59,0,0,4,0.602059991,131.19,29.64,5.5,0.17,0,0.003745184,0.08,0.004986702,0.03,0.02,5,23,5,28,2.5,,0.45,UNDEV,UNDEV
RO09361,OpenWater,6.01,31.55,28.83,7.74,6.49,22.39,0,0,0,0,41.06,3.36,0.62,0,0,0,0.02,7.50E-05,0.003463228,0.007596755,5,11,62,802,4.5,,5.88,UNDEV,DEV
RO09362,OpenWater,4.96,29.58,30.01,7.45,5.76,15.29,0,0,2,0.301029996,47.43,6.78,1.43,0,0,0,0.02,0.000424149,0.00795455,0.008911621,6,12,43,446,4.5,,1.05,UNDEV,UNDEV
RO09363,OpenWater,5.56,25,30.04,7.7,13.7,87.76,0,0,110,2.041392685,,,,,,,,,,,8,29,7,11,2,0.34,32.32,DEV,DEV
RO09364,OpenWater,5.46,8.41,28.5,7.1,7.92,2.68,0,0,23,1.361727836,22.63,3.63,0.62,0,0,0,0.01,0.000372778,0.003484905,0.003720263,4,4,12,25,3.5,0.48,0.12,UNDEV,UNDEV
RO09366,OpenWater,6.23,33.77,28.97,7.86,4.22,2.33,0,0,0,0,13.27,0,0.33,0,0,0,0.0095,0,0.001874206,0.003259621,2,2,14,116,3,,5.88,UNDEV,DEV
RO09367,OpenWater,4.27,27.51,30,7.41,4.92,7.01,10,1,0,0,28.01,0,0.56,0.02,0,0.000511518,0.01,0,0.003136806,0.00614072,11,17,21,837,4,0.39,0.13,UNDEV,UNDEV
RO09368,OpenWater,5.69,28.42,29.33,7.9,5.17,13.55,479,2.680335513,110,2.041392685,52.14,137.28,1.86,0.05,0,0.001205119,0.02,0.004989617,0.01,0.01,11,19,51,277,4.5,,35.9,DEV,DEV
RO09369,OpenWater,,25.65,23.29,7.68,8.84,7.82,0,0,0,0,23.82,2.96,1.43,0.03,0,0.000840586,0.01,6.63E-05,0.007957811,0.005122347,4,7,42,292,4.5,,0.34,UNDEV,UNDEV
RO09370,OpenWater,6.11,31.98,29.06,7.75,6.83,1.73,0,0,2,0.301029996,26.61,0,0.25,0,0,0,0.02,0,0.001400383,0.007299006,4,4,17,62,4,,2.16,UNDEV,DEV
RO09371,OpenWater,5.88,30.36,23.52,7.66,5.9,34.54,0,0,0,0,50.55,2.85,0.69,0.02,0.04,0.000560217,0.02,0.003614654,0.003840105,0.009469447,12,181,19,39,4,,0.07,UNDEV,UNDEV
RO09372,OpenWater,4.34,13.89,30.09,7.46,4.02,85.87,0,0,23,1.361727836,147.65,600.93,5.17,0.75,0.11,0.01,0.07,0.02,0.02,0.04,4,35,4,15,1.5,0.2,5.94,UNDEV,DEV
RO09373,OpenWater,5.08,30.57,29.07,7.57,7.78,1.92,10,1,2,0.301029996,18.94,0,0.48,0,0,0,0.01,0,0.002669972,0.00375304,3,3,21,155,3.5,0.51,2.16,UNDEV,DEV
RO09374,OpenWater,6.06,33.17,28.73,7.91,5.2,2.47,0,0,2,0.301029996,19.7,0,0.63,0,0,0,0.01,0,0.0035396,0.005189796,3,8,16,45,3.5,0.49,1.64,UNDEV,UNDEV
RO10375,OpenWater,6.72,33.72,24.21,7.79,8.35,2.66,10,1,17,1.230448921,20.58,71.85,1.41,0.22,0.7,0.004956746,0.03,0.003400369,0.007874717,0.01,5,11,30,270,3,,1.73,UNDEV,DEV
RO10376,OpenWater,5.23,36.36,31.79,7.88,8.93,31.41,0,0,0,0,99.87,0,0.2,0.11,0,0.002469566,0.05,0,0.00115335,0.01,14,68,60,589,5,,3.44,UNDEV,DEV
RO10377,OpenWater,4.64,33.13,31.59,7.67,7.5,7.17,10,1,0,0,43.05,109.96,1.61,0.24,0.75,0.005285423,0.02,0.004549286,0.008965844,0.01,12,153,29,156,3.5,,3.65,UNDEV,DEV
RO10378,OpenWater,4.01,30.06,31.29,7.38,5.65,6.82,10,1,2,0.301029996,53.25,0,0.42,0.13,0,0.002869176,0.03,0,0.002355772,0.01,9,12,42,981,4.5,0.46,2.52,UNDEV,DEV
RO10379,OpenWater,4.87,33.56,31.63,7.69,9.95,47.49,20,1.301029996,4,0.602059991,97.86,116.62,2.28,1.67,1.04,0.03,0.04,0.005499621,0.01,0.02,17,124,49,320,4,0.71,1.07,UNDEV,UNDEV
RO10380,OpenWater,5.87,12.02,30.52,7.5,12.35,16.06,41,1.612783857,60,1.77815125,50.45,112.58,2.41,0.36,1.1,0.007992647,0.04,0.006007196,0.01,0.02,6,16,8,30,2,0.32,2.24,UNDEV,DEV
RO10382,OpenWater,6.17,34.22,31.2,7.84,5.12,10.34,10,1,0,0,25.51,73.73,1.52,0.23,0.72,0.005087115,0.03,0.003489752,0.008470094,0.01,2,2,26,145,4,0.6,5.88,UNDEV,DEV
